ZIP,cluster_id,coverage_pct,can_skip,covered_by
10010,A_5mi_C1,95.7,True,"[('11368', 40.6), ('11385', 50.9), ('11226', 42.7), ('11373', 51.8), ('11236', 30.6), ('10025', 62.4), ('11221', 60.9), ('11234', 18.0), ('11377', 63.5), ('11229', 19.3), ('11375', 37.2), ('11218', 42.1), ('11215', 53.1), ('11209', 28.0), ('11201', 71.5), ('10023', 77.0), ('11211', 78.4), ('10024', 63.1), ('10128', 69.5), ('11238', 61.9), ('07030', 76.2), ('07302', 67.5), ('10016', 95.7), ('10003', 94.4), ('10011', 91.2), ('10028', 73.0), ('11217', 64.7), ('11231', 60.7), ('10021', 78.1), ('10022', 85.9), ('10065', 81.6), ('10014', 87.8), ('10013', 84.0), ('07310', 73.7)]"
10065,A_5mi_C1,96.4,True,"[('11368', 48.3), ('11385', 48.2), ('11226', 30.1), ('11373', 57.4), ('11236', 22.5), ('10025', 78.7), ('11221', 52.2), ('11377', 70.0), ('11375', 40.4), ('11218', 28.5), ('11215', 37.9), ('11209', 14.6), ('11201', 54.7), ('10023', 88.3), ('11211', 67.3), ('10024', 78.2), ('10128', 87.7), ('11238', 47.9), ('07030', 65.4), ('07302', 52.4), ('10016', 85.9), ('10003', 76.1), ('10011', 77.3), ('10028', 91.3), ('11217', 49.3), ('11231', 44.0), ('10021', 96.4), ('10022', 95.6), ('10010', 81.6), ('10014', 71.6), ('10013', 66.1), ('07310', 59.5)]"
10014,A_5mi_C1,93.8,True,"[('11368', 30.4), ('11385', 42.6), ('11226', 42.6), ('11373', 41.2), ('11236', 27.4), ('10025', 55.7), ('11221', 55.1), ('11234', 16.6), ('11377', 52.2), ('11229', 19.5), ('11375', 28.0), ('11218', 43.8), ('11215', 55.6), ('11209', 33.0), ('11201', 74.0), ('10023', 71.1), ('11211', 71.5), ('10024', 57.1), ('10128', 60.1), ('11238', 60.9), ('07030', 85.9), ('07302', 79.3), ('10016', 84.5), ('10003', 91.5), ('10011', 93.8), ('10028', 63.4), ('11217', 65.6), ('11231', 65.6), ('10021', 68.2), ('10022', 75.7), ('10010', 87.8), ('10065', 71.6), ('10013', 91.7), ('07310', 85.6)]"
10013,A_5mi_C1,91.7,True,"[('11368', 29.9), ('11385', 45.5), ('11226', 49.8), ('11373', 41.1), ('11236', 32.9), ('10025', 48.9), ('11221', 59.8), ('11234', 22.1), ('11377', 51.3), ('11229', 25.6), ('11375', 29.1), ('11218', 51.2), ('11215', 63.4), ('11209', 39.8), ('11201', 82.0), ('10023', 63.9), ('11211', 75.0), ('10024', 50.1), ('10128', 54.5), ('11238', 68.0), ('07030', 79.6), ('07302', 80.3), ('10016', 79.8), ('10003', 89.5), ('10011', 86.1), ('10028', 57.8), ('11217', 73.2), ('11231', 73.7), ('10021', 62.7), ('10022', 70.3), ('10010', 84.0), ('10065', 66.1), ('10014', 91.7), ('07310', 83.6)]"
07310,A_5mi_C1,91.8,True,"[('11368', 19.3), ('11385', 31.5), ('11226', 37.9), ('11373', 29.1), ('11236', 20.8), ('10025', 47.2), ('11221', 44.7), ('11234', 12.4), ('11377', 39.3), ('11229', 16.7), ('11375', 17.5), ('11218', 40.8), ('11215', 52.6), ('11209', 35.4), ('11201', 68.3), ('10023', 61.9), ('11211', 59.4), ('10024', 49.3), ('10128', 49.1), ('11238', 53.8), ('07030', 90.2), ('07302', 91.8), ('10016', 70.8), ('10003', 77.4), ('10011', 81.3), ('10028', 52.0), ('11217', 59.7), ('11231', 64.4), ('10021', 56.4), ('10022', 63.2), ('10010', 73.7), ('10065', 59.5), ('10014', 85.6), ('10013', 83.6)]"
92336,A_5mi_C2,66.9,False,"[('92335', 62.5), ('91739', 66.9)]"
92335,A_5mi_C2,62.5,False,"[('92336', 62.5), ('91739', 41.3)]"
91739,A_5mi_C2,66.9,False,"[('92336', 66.9), ('92335', 41.3)]"
90650,A_5mi_C3,74.2,False,"[('92804', 26.1), ('90706', 73.8), ('90631', 32.6), ('92833', 37.5), ('90630', 41.8), ('90703', 74.2), ('90620', 48.9), ('90808', 47.1)]"
92683,A_5mi_C3,80.1,False,"[('92804', 58.3), ('92704', 50.9), ('92805', 35.6), ('92627', 28.5), ('92647', 80.1), ('92708', 65.9), ('92646', 43.7), ('92833', 24.5), ('92626', 38.8), ('90630', 53.6), ('90703', 23.7), ('90620', 42.9), ('92648', 53.7), ('92867', 22.4), ('90808', 28.8), ('92660', 13.6)]"
